date,region,total_daily_mean_sv,zoop_daily_mean_sv,total_daily_area_scatter,zoop_daily_area_scatter
20230810,W,-61.9,-60.06,6245,33.22
20230811,W,-61.75,-58.49,3634,16.6
20230812,W,-62.03,-78,8015,0
20230813,W,-62.28,-78,7222,0
20230814,W,-61.47,-65.38,2348,5.6
20230815,W,-60.59,-63.86,7584,2.23
20230816,W,-64.22,-65.18,6129,50.84
20230817,W,-63.5,-65.56,5683,87.16
20230818,W,-64.32,-65.25,7112,71.74
20230819,W,-67.23,-68.54,2847,9.68
20230820,W,-67.73,-61.35,2293,0.42
20230821,W,-68.46,-58.99,1837,5.28
20230822,W,-67.51,-66.76,8847,120.08
20230823,W,-67.78,-70.13,1409,61.47
20230824,W,-67.41,-62.82,4850,18.61
20230825,W,-68.63,-67.7,3883,6.54
20230826,W,-70.55,-67.79,1148,4.39
20230827,W,-69.52,-72.8,4371,2.47
20230828,W,-69.09,-67.02,1400,6.38
20230902,W,-65.81,-61.88,3137,1.95
20230903,W,-67.02,-63.5,2475,14.13
20230904,W,-71.24,-67.57,930,1.53
20230905,W,-73.67,-75.1,570,6.69
20230906,W,-71.03,-66.23,984,24.44
20230907,W,-70.92,-69.26,1338,11.06
20230908,W,-70.85,-66.75,1097,27.89
20230909,W,-68.36,-68.01,5732,3.03
20230910,W,-67.94,-70.73,1890,1.48
20230911,W,-68.47,-66.19,1901,13.89
20230912,W,-66.6,-66.47,2614,3.43
20230913,W,-64.61,-65.1,4076,27.26
20230914,W,-66.09,-63.5,4038,26.1
20230915,W,-68.23,-66.21,1765,26.67
20230916,W,-64.67,-63.38,4105,61.34
20230917,W,-66.29,-65.3,2768,20.1
20230918,W,-66.78,-64.09,2513,0.52
20230919,W,-67.57,-66.34,2082,28.27
20230920,W,-68.06,-65.17,2028,53.57
20231019,W,-71.17,-70.27,926,97.92
20231020,W,-70.2,-67.65,1088,151.68
20231021,W,-69.71,-64.69,1517,30.95
20231022,W,-70.49,-67.77,1194,117.04
20231023,W,-68.77,-67.22,1693,243.26
20231024,W,-71.79,-71.51,879,19.18
20231109,W,-71.8,-70.62,883,36.27
20231110,W,-70.51,-74.05,1301,65.7
20231111,W,-70.9,-73.34,969,101.96
20231112,W,-67.92,-65.96,1992,260.69
20231113,W,-68.98,-68.21,1848,126.91
20231114,W,-71.05,-69.07,1171,49.71
20231115,W,-71.04,-67.71,1059,29.53
20231116,W,-70.95,-68.26,1011,1.59
20231117,W,-70.42,-68.79,1130,8.73
20231118,W,-71.15,-70.15,967,31.55
20231119,W,-72.01,-66.5,770,70.65
20231120,W,-70.27,-64.02,1208,161.07
20231121,W,-70.98,-65.24,978,36.08
20231122,W,-72.55,-69.72,678,32.16
20231123,W,-72.46,-72.18,776,18.99
20231124,W,-72.73,-73.01,661,12.9
20231125,W,-70.7,-63.87,1069,5.32
20231126,W,-70.45,-74.87,1297,17.39
20231127,W,-63.55,-60.69,9108,32.4
20230810,E,-61.39,-62.35,10644,7.11
20230811,E,-62.69,-61.35,10710,11.45
20230812,E,-64.53,-62.09,4475,4.39
20230813,E,-59.17,-62.17,3511,2.59
20230814,E,-59.57,-67.15,6361,29.72
20230815,E,-60.03,-66.05,7724,68.87
20230816,E,-60.01,-65.83,5318,97.3
20230817,E,-60.38,-66.17,3005,22.44
20230818,E,-63.95,-70.29,7549,22.85
20230819,E,-67.19,-63.15,2696,6.23
20230820,E,-66.9,-58.72,2963,11.6
20230821,E,-64.92,-65.77,4472,25.28
20230822,E,-65.99,-70.6,4626,83.05
20230823,E,-67.03,-66.77,2632,26.67
20230824,E,-67.71,-67.03,2248,6.63
20230825,E,-69.51,-60.88,1553,3.6
20230826,E,-68.48,-70.81,1926,0.23
20230827,E,-68.83,-66.39,1689,30.24
20230828,E,-66.71,-60.3,2728,14.47
20230902,E,-67.81,-61.38,2177,8.89
20230903,E,-68.78,-63.95,1776,3.56
20230904,E,-71.79,-71.68,921,2.83
20230905,E,-71.01,-65.64,1043,6.3
20230906,E,-69.44,-67.3,1501,2.06
20230907,E,-66.96,-64.94,2787,3.06
20230908,E,-69.1,-65.98,1574,6.6
20230909,E,-68.52,-69.04,1776,6.12
20230910,E,-68.51,-65.77,1915,1.23
20230911,E,-67.07,-65.12,2502,0.33
20230912,E,-64.66,-64.08,4331,4.97
20230913,E,-66.74,-63.65,2778,20.92
20230914,E,-67.98,-63.83,2017,18.27
20230915,E,-66.94,-63.15,2585,18.64
20230916,E,-65.69,-64.61,3436,38.78
20230917,E,-63.26,-61.61,6140,103.13
20230918,E,-66.1,-62.97,3209,72.86
20230919,E,-68.27,-66.26,1963,50.67
20230920,E,-70.86,-70.83,1043,89.82
20231019,E,-68.6,-67.76,1921,196.97
20231020,E,-67.36,-67.8,2377,51.34
20231021,E,-70.15,-66.87,1341,9.56
20231022,E,-69.73,-73.51,1565,66.32
20231023,E,-68.52,-68.57,1886,141
20231024,E,-70.4,-71.42,1233,21.67
20231109,E,-71.23,-70.52,1015,46.81
20231110,E,-70.13,-71.79,1469,121.33
20231111,E,-69.71,-73.64,1373,97.8
20231112,E,-68.83,-67.16,1707,287.07
20231113,E,-69.66,-70.83,1364,152.94
20231114,E,-71.25,-70.26,982,82.57
20231115,E,-71,-68.29,1108,17.4
20231116,E,-70.75,-66.17,1091,8.49
20231117,E,-69.58,-68.32,1455,27.92
20231118,E,-69.72,-69.86,1388,20.45
20231119,E,-71.99,-71.06,832,48.72
20231120,E,-71.05,-65.91,1068,108.03
20231122,E,-71.59,-69.06,990,44.38
20231123,E,-72.14,-71.22,929,20.78
20231124,E,-72.2,-71.06,1624,15.91
20231125,E,-71.96,-67.2,1043,33.25
20231126,E,-70.33,-67.19,1203,44.02
20231127,E,-70.87,-69.19,1440,36.3
